,City,Coordinates,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
114,saint-joseph,"55.62,   -21.37",-21.37,-21.37,65.5,68,25,5.82,RE,1598284608
115,kankon,"74.02,   15.02",15.02,15.02,80.6,88,40,5.82,IN,1598284609
116,shelburne,"-80.2,   44.08",44.08,44.08,83.08,51,1,10.29,CA,1598284327
117,cape town,"18.42,   -33.93",-33.93,-33.93,61.56,67,20,10.29,ZA,1598284463
118,bambous virieux,"57.76,   -20.34",-20.34,-20.34,71.78,73,40,14.99,MU,1598284609
119,flic en flac,"57.36,   -20.27",-20.27,-20.27,71.82,73,40,14.99,MU,1598284609
120,tiarei,"-149.33,   -17.53",-17.53,-17.53,73.2,83,20,4.7,PF,1598284610
121,brockville,"-75.68,   44.58",44.58,44.58,79.43,74,40,9.17,CA,1598284426
122,nara,"135.8,   34.69",34.69,34.69,82.76,46,0,1.28,JP,1598284328
123,ahuimanu,"-157.84,   21.44",21.44,21.44,78.22,74,75,12.75,US,1598284610
124,batagay,"134.63,   67.63",67.63,67.63,31.89,96,3,3.42,RU,1598284610
125,nikolskoye,"30.79,   59.7",59.7,59.7,65.37,59,40,4.47,RU,1598284610
126,cap malheureux,"57.61,   -19.98",-19.98,-19.98,72.0,72,23,8.99,MU,1598284611
127,nikolsk,"46.07,   53.72",53.72,53.72,63.3,72,94,5.55,RU,1598284611
128,mar del plata,"-57.56,   -38",-38.0,-38.0,64.4,59,46,10.29,AR,1598284462
129,sola,"167.55,   -13.88",-13.88,-13.88,80.87,84,94,12.3,VU,1598284611
130,ituango,"-75.76,   7.17",7.17,7.17,75.7,59,100,1.59,CO,1598284611
131,noumea,"166.46,   -22.28",-22.28,-22.28,67.91,88,75,3.36,NC,1598284611
132,wloclawek,"19.07,   52.65",52.65,52.65,71.13,55,43,7.87,PL,1598284611
133,dali,"100.18,   25.7",25.7,25.7,65.53,81,100,2.59,CN,1598284612
134,hami,"93.45,   42.8",42.8,42.8,85.17,18,2,5.84,CN,1598284612
135,nadym,"72.52,   65.53",65.53,65.53,52.34,89,97,8.84,RU,1598284612
136,nakhon nayok,"101.21,   14.2",14.2,14.2,87.03,100,100,2.55,TH,1598284612
137,port alfred,"26.89,   -33.59",-33.59,-33.59,61.74,78,97,13.29,ZA,1598284612
138,bystrzyca klodzka,"16.64,   50.3",50.3,50.3,70.32,55,100,5.7,PL,1598284613
139,deputatskiy,"139.9,   69.3",69.3,69.3,26.62,98,92,2.44,RU,1598284613
140,norman wells,"-126.83,   65.28",65.28,65.28,51.8,87,40,4.83,CA,1598284613
141,vestmannaeyjar,"-20.27,   63.44",63.44,63.44,53.6,81,40,11.41,IS,1598284614
